aArgs a_args
loopEnv loop_env
loopKind loop_kind
mainFunction main_function
mainResultValue main_result_value
makeFunctionBinding make_function_binding
makePlanTrace make_plan_trace
matchText match_text
matchTypePattern match_type_pattern
messageIndex message_index
methodType method_type
minPrecedence min_precedence
mirResult mir_result
nameTokens name_tokens
nestedOk nested_ok
newArray new_array
newLexer new_lexer
newVec new_vec
nextI next_i
nextStorage next_storage
normalizeTypeText normalize_type_text
numericBinary numeric_binary
objPath obj_path
okFunction ok_function
okInt ok_int
okPath ok_path
okPatterns ok_patterns
okSourceResult ok_source_result
okType ok_type
okUnit ok_unit
okValue ok_value
okWriteOps ok_write_ops
opText op_text
optionMatchBindTypeFail option_match_bind_type_fail
optionMatchDuplicateFail option_match_duplicate_fail
optionMatchExhaustFail option_match_exhaust_fail
optionMatchOk option_match_ok
optionMatchUnreachableFail option_match_unreachable_fail
optionNestedPayloadFail option_nested_payload_fail
optionPatternsCover option_patterns_cover
orderedCompare ordered_compare
outerEnv outer_env
outputPath output_path
overloadAmbiguousFail overload_ambiguous_fail
overloadGenericFail overload_generic_fail
overloadGenericOk overload_generic_ok
overloadOk overload_ok
pArgs p_args
pBase p_base
paramType param_type
paramTypes param_types
parseAssignStmt parse_assign_stmt
parseBinaryExpr parse_binary_expr
parseBlockExpr parse_block_expr
parseBracketGroup parse_bracket_group
parseCallExpr parse_call_expr
parseCforStmt parse_cfor_stmt
parseDeferStmt parse_defer_stmt
parseEnumDecl parse_enum_decl
parseExpr parse_expr
parseForClauseStmt parse_for_clause_stmt
parseForExpr parse_for_expr
parseFunction parse_function
parseFunctionDecl parse_function_decl
parseGenericParams parse_generic_params
parseIfExpr parse_if_expr
parseImplDecl parse_impl_decl
parseIncrementStmt parse_increment_stmt
parseIntLiteral parse_int_literal
parseItem parse_item
parseNamedType parse_named_type
parseParams parse_params
parsePath parse_path
parsePattern parse_pattern
parsePrimaryExpr parse_primary_expr
parseResult parse_result
parseReturnStmt parse_return_stmt
parseShortVarStmt parse_short_var_stmt
parseSource parse_source
parseSourceFile parse_source_file
parseStmt parse_stmt
parseStructDecl parse_struct_decl
parseSwitchExpr parse_switch_expr
parseTokenSegment parse_token_segment
parseTokens parse_tokens
parseTraitDecl parse_trait_decl
parseTypeText parse_type_text
parseTypedVarStmt parse_typed_var_stmt
parseUnaryExpr parse_unary_expr
parseUseDecl parse_use_decl
parseUsePath parse_use_path
parseVarStmt parse_var_stmt
parseWhereClause parse_where_clause
parseWhileExpr parse_while_expr
parsedResult parsed_result
pathContainsDot path_contains_dot
patternAnchor pattern_anchor
patternDuplicate pattern_duplicate
patternEquivalent pattern_equivalent
patternIsWild pattern_is_wild
patternResult pattern_result
patternSubsumes pattern_subsumes
patternUnreachable pattern_unreachable
patternsCoverType patterns_cover_type
payloadType payload_type
peekAt peek_at
prefixLen prefix_len
propagateBindings propagate_bindings
readIdentifier read_identifier
readNumber read_number
readString read_string
readSymbol read_symbol
readToString read_to_string
replaceOnce replace_once
reportError report_error
reportFailure report_failure
requireBody require_body
requireCopy require_copy
resolveMethodReturn resolve_method_return
resultMatchDuplicateFail result_match_duplicate_fail
resultMatchExhaustFail result_match_exhaust_fail
resultMatchOk result_match_ok
resultPatternsCover result_patterns_cover
returnType return_type
rightBool right_bool
rightInt right_int
rightResult right_result
rightText right_text
runArgv run_argv
runProcess run_process
runResult run_result
secondTypeArg second_type_arg
seenNone seen_none
seenPatterns seen_patterns
semanticResult semantic_result
singleLine single_line
skipIgnored skip_ignored
sliceTokens slice_tokens
somePatterns some_patterns
sourcePath source_path
sourceResult source_result
startColumn start_column
startLine start_line
startsStmt starts_stmt
startsWith starts_with
startsWithUpper starts_with_upper
stepResult step_result
stmtResult stmt_result
stmtText stmt_text
stopValues stop_values
stringifyValue stringify_value
subjectText subject_text
suffixLen suffix_len
targetType target_type
tempDir temp_dir
tempDirResult temp_dir_result
testGolden test_golden
testMir test_mir
testSemantic test_semantic
textLen text_len
textLines text_lines
thenBranch then_branch
thenResult then_result
thenText then_text
toString to_string
tokenKindName token_kind_name
tokenResult token_result
tokensPath tokens_path
tokensResult tokens_result
traitName trait_name
trimText trim_text
tryMatchSignature try_match_signature
typeContainsGeneric type_contains_generic
typeEnv type_env
typeName type_name
typeText type_text
typeTokens type_tokens
typesCompatible types_compatible
unwrapErr unwrap_err
unwrapOr unwrap_or
unwrapOrZero unwrap_or_zero
useDecl use_decl
valueToExitCode value_to_exit_code
variantName variant_name
variantPayloadType variant_payload_type
withCapacity with_capacity
writeResult write_result
writesResult writes_result
